maker,product_name,color,num_reviews,ratings_new,num_ratings_new,RAM(GB),ROM(GB),Expandable_ROM(GB),Display_Size(cm),Display_type,Rear_Camera(MB),Front_Camera(MB),Battery_Backup(mAh),Price(₹),Rear_Dual_Camera
POCO,C51,Royal Blue,2450,4.1,47216,4,64,1024,16.56,HD+ Display,8,5 ,5000,6499,1
POCO,C51,Power Black,2450,4.1,47216,4,64,1024,16.56,HD+ Display,8,5 ,5000,6499,1
POCO,C50,Royal Blue,2400,4.2,50720,2,32,512,16.56,HD+ Display,8,5 ,5000,5499,0
vivo,T2x,Marine Blue,5526,4.4,99535,6,128,0,16.71,Full HD+ Display,50,8 ,5000,13999,0
vivo,T2x,Glimmer Black,5526,4.4,99535,6,128,0,16.71,Full HD+ Display,50,8 ,5000,13999,0
vivo,T2x,Glimmer Black,2941,4.4,55643,4,128,0,16.71,Full HD+ Display,50,8 ,5000,12999,0
vivo,T2x,Aurora Gold,2941,4.4,55643,4,128,0,16.71,Full HD+ Display,50,8 ,5000,12999,0
Infinix,SMART,Azure Blue,2828,4.3,57868,4,64,2048,16.76,HD+ Display,13,5 ,6000,6999,0
Infinix,SMART,Emerald Green,2828,4.3,57868,4,128,512,16.76,HD+ Display,13,5 ,6000,7799,0
Infinix,SMART,Emerald Green,2828,4.3,57868,4,64,2048,16.76,HD+ Display,13,5 ,6000,6999,0
POCO,C55,Cool Blue,1903,4.2,33785,6,128,1024,17.04,HD+ Display,50,5 ,5000,8999,1
vivo,T2x,Aurora Gold,5526,4.4,99535,6,128,0,16.71,Full HD+ Display,50,8 ,5000,13999,0
Infinix,SMART,Azure Blue,2828,4.3,57868,4,128,512,16.76,HD+ Display,13,5 ,6000,7799,0
Infinix,SMART,Night Black,2828,4.3,57868,4,64,2048,16.76,HD+ Display,13,5 ,6000,6999,0
POCO,C55,Forest Green,1903,4.2,33785,6,128,1024,17.04,HD+ Display,50,5 ,5000,8999,1
OnePlus,Nord,Blue Tide,6557,4.4,94153,6,128,0,16.74,Display,64,16 ,5000,17934,0
POCO,C55,Power Black,1903,4.2,33785,6,128,1024,17.04,HD+ Display,50,5 ,5000,8999,1
REDMI,11,Peppy Purple,237,4.3,4914,4,64,512,16.71,Full HD+ Display,50,8 ,5000,8999,0
MOTOROLA,e32,Arctic Blue,1069,3.9,13159,4,64,1024,16.51,HD+ Display,50,8 ,5000,7999,0
POCO,C55,Forest Green,2688,4.2,46158,4,64,1024,17.04,HD+ Display,50,5 ,5000,7499,1
MOTOROLA,G32,Mineral Gray,3656,4.1,42361,8,128,0,16.51,Full HD+ Display,50,16 ,5000,11999,0
POCO,C55,Cool Blue,2688,4.2,46158,4,64,1024,17.04,HD+ Display,50,5 ,5000,7499,1
MOTOROLA,e13,Aurora Green,3441,4.0,42122,4,64,1024,16.51,HD+ Display,13,5 ,5000,7299,0
Infinix,SMART,Night Black,2828,4.3,57868,4,128,512,16.76,HD+ Display,13,5 ,6000,7799,0
