Unnamed: 0,0,1,2,3,4,5,6,7
0,"POCO C51 (Royal Blue, 64 GB)","4.147,216 Ratings & 2,450 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.56 cm (6.52 inch) HD+ Display,8MP Dual Rear Camera | 5MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,"₹6,499₹9,99935% offFree delivery by TodayBank Offer"
1,"POCO C51 (Power Black, 64 GB)","4.147,216 Ratings & 2,450 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.56 cm (6.52 inch) HD+ Display,8MP Dual Rear Camera | 5MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,"₹6,499₹9,99935% offFree delivery by TodayBank Offer"
2,"POCO C50 (Royal Blue, 32 GB)","4.250,720 Ratings & 2,400 Reviews",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.56 cm (6.52 inch) HD+ Display,8MP Dual Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹5,499₹8,99938% offFree delivery by TodayBank Offer"
3,"vivo T2x 5G (Marine Blue, 128 GB)","4.499,535 Ratings & 5,526 Reviews",6 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,1 Year of Device & 6 Months for Inbox Accessories,"₹13,999₹18,99926% offFree delivery by TodayBank Offer"
4,"vivo T2x 5G (Glimmer Black, 128 GB)","4.499,535 Ratings & 5,526 Reviews",6 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,1 Year of Device & 6 Months for Inbox Accessories,"₹13,999₹18,99926% offFree delivery by TodayBank Offer"
5,"vivo T2x 5G (Glimmer Black, 128 GB)","4.455,643 Ratings & 2,941 Reviews",4 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,1 Year of Device & 6 Months for Inbox Accessories,"₹12,999₹17,99927% offFree delivery by TodayBank Offer"
6,"vivo T2x 5G (Aurora Gold, 128 GB)","4.455,643 Ratings & 2,941 Reviews",4 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,1 Year of Device & 6 Months for Inbox Accessories,"₹12,999₹17,99927% offFree delivery by TodayBank Offer"
7,"Infinix SMART 7 (Azure Blue, 64 GB)","4.357,868 Ratings & 2,828 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,13MP + AI Lens | 5MP Front Camera,6000 mAh Battery,1 Year on Handset and 6 Months on Accessories,"₹6,999₹9,99930% offFree delivery by TodayNo Cost EMI from ₹1,167/monthBank Offer"
8,"Infinix SMART 7 (Emerald Green, 128 GB)","4.357,868 Ratings & 2,828 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.76 cm (6.6 inch) HD+ Display,13MP + AI Lens | 5MP Front Camera,6000 mAh Battery,1 Year on Handset and 6 Months on Accessories,"₹7,799₹10,99929% offFree delivery by TodayBank Offer"
9,"Infinix SMART 7 (Emerald Green, 64 GB)","4.357,868 Ratings & 2,828 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,13MP + AI Lens | 5MP Front Camera,6000 mAh Battery,1 Year on Handset and 6 Months on Accessories,"₹6,999₹9,99930% offFree delivery by TodayNo Cost EMI from ₹1,167/monthBank Offer"
10,"POCO C55 (Cool Blue, 128 GB)","4.233,785 Ratings & 1,903 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,50MP Dual Rear Camera | 5MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹8,999₹13,99935% off"
11,"vivo T2x 5G (Aurora Gold, 128 GB)","4.499,535 Ratings & 5,526 Reviews",6 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,1 Year of Device & 6 Months for Inbox Accessories,"₹13,999₹18,99926% offFree delivery by TodayBank Offer"
12,"Infinix SMART 7 (Azure Blue, 128 GB)","4.357,868 Ratings & 2,828 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.76 cm (6.6 inch) HD+ Display,13MP + AI Lens | 5MP Front Camera,6000 mAh Battery,1 Year on Handset and 6 Months on Accessories,"₹7,799₹10,99929% offFree delivery by TodayBank Offer"
13,"Infinix SMART 7 (Night Black, 64 GB)","4.357,868 Ratings & 2,828 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,13MP + AI Lens | 5MP Front Camera,6000 mAh Battery,1 Year on Handset and 6 Months on Accessories,"₹6,999₹9,99930% offFree delivery by TodayBank Offer"
14,"POCO C55 (Forest Green, 128 GB)","4.233,785 Ratings & 1,903 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,50MP Dual Rear Camera | 5MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹8,999₹13,99935% offFree delivery by TodayBank Offer"
